GEOID,avg_annual_crimes,population,crimes_per_1k
17031100100,223.93333333333334,5890,38.0
17031100200,216.46666666666667,7564,28.6
17031100300,161.66666666666666,6447,25.1
17031100400,78.46666666666667,3325,23.6
17031100500,211.86666666666667,5814,36.4
17031100600,274.93333333333334,4914,55.9
17031100700,107.73333333333333,5372,20.1
17031110100,196.2,5776,34.0
17031110200,150.13333333333333,2821,53.2
17031110300,162.33333333333334,5304,30.6
17031110400,209.46666666666667,4501,46.5
17031110501,183.13333333333333,5097,35.9
17031110502,279.53333333333336,3533,79.1
17031120100,77.46666666666667,4400,17.6
17031120200,134.2,4573,29.3
17031120300,171.8,7046,24.4
17031120400,147.06666666666666,3836,38.3
17031130100,254.2,4895,51.9
17031130200,127.66666666666667,1545,82.6
17031130300,231.86666666666667,5040,46.0
17031140100,158.86666666666667,3520,45.1
17031140200,348.8666666666667,6603,52.8
17031140301,165.13333333333333,2908,56.8
17031140302,180.26666666666668,3311,54.4
17031140400,303.73333333333335,5911,51.4
17031140500,228.13333333333333,3171,71.9
17031140601,117.4,2762,42.5
17031140602,292.53333333333336,4703,62.2
17031140701,170.13333333333333,2990,56.9
17031140702,371.73333333333335,5572,66.7
17031140800,283.3333333333333,6212,45.6
17031150200,461.73333333333335,7263,63.6
17031150300,382.73333333333335,7272,52.6
17031150401,223.66666666666666,5146,43.5
17031150402,180.4,3945,45.7
17031150501,119.86666666666666,3854,31.1
17031150502,180.33333333333334,3953,45.6
17031150600,246.6,4223,58.4
17031150700,199.4,4453,44.8
17031150800,289.4,4668,62.0
17031151001,179.66666666666666,2816,63.8
17031151002,317.8,4892,65.0
17031151100,340.73333333333335,5447,62.6
17031151200,253.26666666666668,4057,62.4
17031160100,126.26666666666667,2757,45.8
17031160200,204.2,3356,60.8
17031160300,219.8,3685,59.6
17031160400,270.6,5171,52.3
17031160501,225.66666666666666,3270,69.0
17031160502,177.66666666666666,4012,44.3
17031160601,146.13333333333333,3003,48.7
17031160602,168.93333333333334,3757,45.0
17031160700,311.73333333333335,6265,49.8
